target,domain
"cigna express scripts, cvs aetna, aetna humana, anthem cigna, lockdown in new york state",health
"atheism, heresy, henduism, monotheism, deism",religion
"donald trump, hillary clinton, ted cruz, bernie sanders, joe biden",politics
"fox and disney, league of legends, minecraft, godfather, joker",entertainment
"feminist movement, freedom of speech, gender equality, racial equality, liberty",human rights
"gun control, death penalty, marijuana legalization, legalization of abortion, abortion",law
"overpopulation, child labor, immigration, poverty, social corruption",society
"cloning, flat earth, genetic engineering, artificial intelligence, robots",science
"school uniforms, online learning, exams and assessment tasks, flexibility of curriculum, year-round school",education
"minimum wage, progressive tax rate, inflation bashing, brexit, universal basic income",economy
"nuclear energy, climate change, animal rights, plastics, global warming",environment
"nba, messi, olympic, tennis, lebron james",sports
"japanese culture of ikebana, jewish culture, fashion as an integral aspect of modern culture, culture clash, cultural relativism",culture
"materialism, multiverse, soul, time travel, big bang",philosophy
